,year,average,interpolated
0,1958.2027,315.7,314.43
1,1958.2877,317.45,315.16
2,1958.3699,317.51,314.71
3,1958.4548,317.24,315.14
4,1958.537,315.86,315.18
5,1958.6219,314.93,316.18
6,1958.7068,313.2,316.08
7,1958.789,312.43,315.41
8,1958.874,313.33,315.2
9,1958.9562,314.67,315.43
10,1959.0411,315.58,315.55
11,1959.126,316.48,315.86
12,1959.2027,316.65,315.38
13,1959.2877,317.72,315.41
14,1959.3699,318.29,315.49
15,1959.4548,318.15,316.03
16,1959.537,316.54,315.86
17,1959.6219,314.8,316.06
18,1959.7068,313.84,316.73
19,1959.789,313.33,316.33
20,1959.874,314.81,316.68
21,1959.9562,315.58,316.35
22,1960.041,316.43,316.4
23,1960.1257,316.98,316.36
24,1960.2049,317.58,316.28
25,1960.2896,319.03,316.7
26,1960.3716,320.04,317.22
27,1960.4563,319.59,317.47
28,1960.5383,318.18,317.52
29,1960.623,315.9,317.19
30,1960.7077,314.17,317.08
31,1960.7896,313.83,316.83
32,1960.8743,315.0,316.88
33,1960.9563,316.19,316.96
34,1961.0411,316.89,316.86
35,1961.126,317.7,317.08
36,1961.2027,318.54,317.26
37,1961.2877,319.48,317.16
38,1961.3699,320.58,317.76
39,1961.4548,319.77,317.63
40,1961.537,318.57,317.88
41,1961.6219,316.79,318.06
42,1961.7068,314.99,317.9
43,1961.789,315.31,318.32
44,1961.874,316.1,317.99
45,1961.9562,317.01,317.79
46,1962.0411,317.94,317.91
47,1962.126,318.55,317.92
48,1962.2027,319.68,318.39
49,1962.2877,320.57,318.24
50,1962.3699,321.02,318.18
51,1962.4548,320.62,318.47
52,1962.537,319.61,318.92
53,1962.6219,317.4,318.68
54,1962.7068,316.25,319.17
55,1962.789,315.42,318.45
56,1962.874,316.69,318.58
57,1962.9562,317.7,318.47
58,1963.0411,318.74,318.7
59,1963.126,319.07,318.44
60,1963.2027,319.86,318.57
61,1963.2877,321.38,319.05
62,1963.3699,322.25,319.4
63,1963.4548,321.48,319.32
64,1963.537,319.74,319.05
65,1963.6219,317.77,319.05
66,1963.7068,316.21,319.14
67,1963.789,315.99,319.02
68,1963.874,317.07,318.97
69,1963.9562,318.35,319.13
70,1964.041,319.57,319.54
71,1964.1257,320.01,319.37
72,1964.2049,320.74,319.41
73,1964.2896,321.84,319.45
74,1964.3716,322.26,319.4
75,1964.4563,321.89,319.75
76,1964.5383,320.44,319.77
77,1964.623,318.69,320.0
78,1964.7077,316.7,319.66
79,1964.7896,316.87,319.91
80,1964.8743,317.68,319.58
81,1964.9563,318.71,319.49
82,1965.0411,319.44,319.4
83,1965.126,320.44,319.81
84,1965.2027,320.89,319.59
85,1965.2877,322.14,319.78
86,1965.3699,322.17,319.3
87,1965.4548,321.87,319.7
88,1965.537,321.21,320.51
89,1965.6219,318.87,320.15
90,1965.7068,317.81,320.77
91,1965.789,317.3,320.36
92,1965.874,318.87,320.78
93,1965.9562,319.42,320.2
94,1966.0411,320.62,320.59
95,1966.126,321.6,320.96
